group,variable,value
Defiance,15-Sep,5
Defiance,16-Sep,1
Defiance,17-Sep,5
Defiance,18-Sep,2
Defiance,19-Sep,0
Defiance,20-Sep,2
Defiance,21-Sep,1
Defiance,22-Sep,5
Defiance,23-Sep,2
Defiance,24-Sep,4
Defiance,25-Sep,34
Defiance,26-Sep,3
Defiance,27-Sep,3
Defiance,28-Sep,5
Defiance,29-Sep,8
Defiance,30-Sep,23
Defiance,1-Oct,6
Defiance,2-Oct,0
Defiance,3-Oct,4
Defiance,4-Oct,9
Defiance,5-Oct,5
Defiance,6-Oct,6
Defiance,7-Oct,3
Defiance,8-Oct,4
Defiance,9-Oct,9
Defiance,10-Oct,2
Defiance,11-Oct,2
Defiance,12-Oct,5
Defiance,13-Oct,5
Defiance,14-Oct,2
Defiance,15-Oct,7
Defiance,16-Oct,7
Defiance,17-Oct,5
Defiance,18-Oct,8
Defiance,19-Oct,15
Defiance,20-Oct,17
Defiance,21-Oct,14
Defiance,22-Oct,18
Defiance,23-Oct,23
Defiance,24-Oct,24
Defiance,25-Oct,18
Defiance,26-Oct,30
Defiance,27-Oct,16
Defiance,28-Oct,29
Defiance,29-Oct,23
Defiance,30-Oct,46
Defiance,31-Oct,22
Defiance,1-Nov,33
Defiance,2-Nov,26
Defiance,3-Nov,36
Defiance,4-Nov,42
Defiance,5-Nov,28
Defiance,6-Nov,31
Defiance,7-Nov,33
Defiance,8-Nov,54
Defiance,9-Nov,67
Defiance,10-Nov,54
Defiance,11-Nov,41
Defiance,12-Nov,37
Defiance,13-Nov,40
Defiance,14-Nov,40
Defiance,15-Nov,21
Defiance,16-Nov,50
Defiance,17-Nov,41
Defiance,18-Nov,32
Defiance,19-Nov,39
Defiance,20-Nov,30
Defiance,21-Nov,40
Defiance,22-Nov,35
Defiance,23-Nov,43
Defiance,24-Nov,42
Defiance,25-Nov,30
Defiance,26-Nov,21
Defiance,27-Nov,30
Defiance,28-Nov,44
Defiance,29-Nov,41
Defiance,30-Nov,43
Defiance,1-Dec,42
Defiance,2-Dec,37
Defiance,3-Dec,32
Defiance,4-Dec,44
Defiance,5-Dec,30
Defiance,6-Dec,39
Defiance,7-Dec,58
Defiance,8-Dec,41
Defiance,9-Dec,40
Defiance,10-Dec,51
Defiance,11-Dec,32
Defiance,12-Dec,30
Defiance,13-Dec,26
Defiance,14-Dec,43
Defiance,15-Dec,26
Defiance,16-Dec,36
Defiance,17-Dec,27
Defiance,18-Dec,28
Defiance,19-Dec,28
Defiance,20-Dec,20
Defiance,21-Dec,26
Defiance,22-Dec,17
Defiance,23-Dec,24
Defiance,24-Dec,15
Defiance,25-Dec,18
Defiance,26-Dec,20
Defiance,27-Dec,40
Defiance,28-Dec,37
Defiance,29-Dec,24
Defiance,30-Dec,23
Defiance,31-Dec,25
Defiance,1-Jan,19
Defiance,2-Jan,20
Defiance,3-Jan,23
Defiance,4-Jan,26
Defiance,5-Jan,28
Defiance,6-Jan,29
Defiance,7-Jan,21
Defiance,8-Jan,25
Defiance,9-Jan,19
Defiance,10-Jan,9
Defiance,11-Jan,15
Defiance,12-Jan,11
Defiance,13-Jan,12
Defiance,14-Jan,11
Defiance,15-Jan,13
Defiance,16-Jan,7
Defiance,17-Jan,2
Delaware,1-Aug,13
Delaware,2-Aug,16
Delaware,3-Aug,14
Delaware,4-Aug,10
Delaware,5-Aug,14
Delaware,6-Aug,14
Delaware,7-Aug,17
Delaware,8-Aug,16
Delaware,9-Aug,12
Delaware,10-Aug,12
Delaware,11-Aug,7
Delaware,12-Aug,14
Delaware,13-Aug,27
Delaware,14-Aug,15
Delaware,15-Aug,9
Delaware,16-Aug,11
Delaware,17-Aug,22
Delaware,18-Aug,25
Delaware,19-Aug,8
Delaware,20-Aug,17
Delaware,21-Aug,10
Delaware,22-Aug,16
Delaware,23-Aug,13
Delaware,24-Aug,23
Delaware,25-Aug,14
Delaware,26-Aug,17
Delaware,27-Aug,18
Delaware,28-Aug,18
Delaware,29-Aug,12
Delaware,30-Aug,12
Delaware,31-Aug,29
Delaware,1-Sep,13
Delaware,2-Sep,30
Delaware,3-Sep,22
Delaware,4-Sep,15
Delaware,5-Sep,10
Delaware,6-Sep,11
Delaware,7-Sep,22
Delaware,8-Sep,40
Delaware,9-Sep,45
Delaware,10-Sep,32
Delaware,11-Sep,33
Delaware,12-Sep,29
Delaware,13-Sep,28
Delaware,14-Sep,31
Delaware,15-Sep,16
Delaware,16-Sep,19
Delaware,17-Sep,15
Delaware,18-Sep,23
Delaware,19-Sep,11
Delaware,20-Sep,11
Delaware,21-Sep,19
Delaware,22-Sep,23
Delaware,23-Sep,29
Delaware,24-Sep,27
Delaware,25-Sep,13
Delaware,26-Sep,12
Delaware,27-Sep,24
Delaware,28-Sep,20
Delaware,29-Sep,23
Delaware,30-Sep,26
Delaware,1-Oct,24
Delaware,2-Oct,18
Delaware,3-Oct,20
Delaware,4-Oct,20
Delaware,5-Oct,24
Delaware,6-Oct,20
Delaware,7-Oct,26
Delaware,8-Oct,18
Delaware,9-Oct,20
Delaware,10-Oct,13
Delaware,11-Oct,7
Delaware,12-Oct,37
Delaware,13-Oct,41
Delaware,14-Oct,36
Delaware,15-Oct,28
Delaware,16-Oct,33
Delaware,17-Oct,19
Delaware,18-Oct,15
Delaware,19-Oct,28
Delaware,20-Oct,38
Delaware,21-Oct,39
Delaware,22-Oct,32
Delaware,23-Oct,40
Delaware,24-Oct,24
Delaware,25-Oct,40
Delaware,26-Oct,51
Delaware,27-Oct,46
Delaware,28-Oct,39
Delaware,29-Oct,52
Delaware,30-Oct,46
Delaware,31-Oct,41
Delaware,1-Nov,38
Delaware,2-Nov,86
Delaware,3-Nov,98
Delaware,4-Nov,104
Delaware,5-Nov,86
Delaware,6-Nov,86
Delaware,7-Nov,75
Delaware,8-Nov,75
Delaware,9-Nov,179
Delaware,10-Nov,157
Delaware,11-Nov,146
Delaware,12-Nov,170
Delaware,13-Nov,132
Delaware,14-Nov,119
Delaware,15-Nov,88
Delaware,16-Nov,192
Delaware,17-Nov,173
Delaware,18-Nov,179
Delaware,19-Nov,131
Delaware,20-Nov,152
Delaware,21-Nov,113
Delaware,22-Nov,91
Delaware,23-Nov,182
Delaware,24-Nov,167
Delaware,25-Nov,141
Delaware,26-Nov,26
Delaware,27-Nov,171
Delaware,28-Nov,119
Delaware,29-Nov,124
Delaware,30-Nov,216
Delaware,1-Dec,181
Delaware,2-Dec,147
Delaware,3-Dec,186
Delaware,4-Dec,177
Delaware,5-Dec,133
Delaware,6-Dec,111
Delaware,7-Dec,168
Delaware,8-Dec,189
Delaware,9-Dec,213
Delaware,10-Dec,169
Delaware,11-Dec,160
Delaware,12-Dec,141
Delaware,13-Dec,125
Delaware,14-Dec,165
Delaware,15-Dec,158
Delaware,16-Dec,142
Delaware,17-Dec,134
Delaware,18-Dec,135
Delaware,19-Dec,104
Delaware,20-Dec,100
Delaware,21-Dec,159
Delaware,22-Dec,157
Delaware,23-Dec,153
Delaware,24-Dec,119
Delaware,25-Dec,18
Delaware,26-Dec,141
Delaware,27-Dec,129
Delaware,28-Dec,177
Delaware,29-Dec,178
Delaware,30-Dec,181
Delaware,31-Dec,174
Delaware,1-Jan,65
Delaware,2-Jan,127
Delaware,3-Jan,124
Delaware,4-Jan,252
Delaware,5-Jan,243
Delaware,6-Jan,203
Delaware,7-Jan,145
Delaware,8-Jan,132
Delaware,9-Jan,87
Delaware,10-Jan,89
Delaware,11-Jan,143
Delaware,12-Jan,112
Delaware,13-Jan,109
Delaware,14-Jan,93
Delaware,15-Jan,78
Delaware,16-Jan,38
Delaware,17-Jan,39
Erie,1-Aug,5
Erie,2-Aug,5
Erie,3-Aug,5
Erie,4-Aug,7
Erie,5-Aug,8
Erie,6-Aug,7
Erie,7-Aug,10
Erie,8-Aug,4
Erie,9-Aug,5
Erie,10-Aug,11
Erie,11-Aug,6
Erie,12-Aug,25
Erie,13-Aug,22
Erie,14-Aug,7
Erie,15-Aug,5
Erie,16-Aug,1
Erie,17-Aug,7
Erie,18-Aug,6
Erie,19-Aug,10
Erie,20-Aug,4
Erie,21-Aug,31
Erie,22-Aug,8
Erie,23-Aug,6
Erie,24-Aug,3
Erie,25-Aug,11
Erie,26-Aug,13
Erie,27-Aug,14
Erie,28-Aug,4
Erie,29-Aug,2
Erie,30-Aug,1
Erie,31-Aug,5
Erie,1-Sep,1
Erie,2-Sep,6
Erie,3-Sep,5
Erie,4-Sep,0
Erie,5-Sep,2
Erie,6-Sep,2
Erie,7-Sep,0
Erie,8-Sep,3
Erie,9-Sep,17
Erie,10-Sep,2
Erie,11-Sep,2
Erie,12-Sep,4
Erie,13-Sep,0
Erie,14-Sep,4
Erie,15-Sep,3
Erie,16-Sep,16
Erie,17-Sep,5
Erie,18-Sep,3
Erie,19-Sep,7
Erie,20-Sep,1
Erie,21-Sep,7
Erie,22-Sep,5
Erie,23-Sep,10
Erie,24-Sep,17
Erie,25-Sep,5
Erie,26-Sep,2
Erie,27-Sep,1
Erie,28-Sep,3
Erie,29-Sep,5
Erie,30-Sep,9
Erie,1-Oct,10
Erie,2-Oct,4
Erie,3-Oct,8
Erie,4-Oct,8
Erie,5-Oct,13
Erie,6-Oct,6
Erie,7-Oct,6
Erie,8-Oct,6
Erie,9-Oct,9
Erie,10-Oct,8
Erie,11-Oct,7
Erie,12-Oct,19
Erie,13-Oct,7
Erie,14-Oct,7
Erie,15-Oct,12
Erie,16-Oct,14
Erie,17-Oct,7
Erie,18-Oct,5
Erie,19-Oct,4
Erie,20-Oct,6
Erie,21-Oct,11
Erie,22-Oct,10
Erie,23-Oct,13
Erie,24-Oct,6
Erie,25-Oct,7
Erie,26-Oct,26
Erie,27-Oct,17
Erie,28-Oct,23
Erie,29-Oct,20
Erie,30-Oct,22
Erie,31-Oct,14
Erie,1-Nov,26
Erie,2-Nov,55
Erie,3-Nov,41
Erie,4-Nov,40
Erie,5-Nov,69
Erie,6-Nov,62
Erie,7-Nov,25
Erie,8-Nov,52
Erie,9-Nov,71
Erie,10-Nov,56
Erie,11-Nov,51
Erie,12-Nov,61
Erie,13-Nov,70
Erie,14-Nov,46
Erie,15-Nov,40
Erie,16-Nov,77
Erie,17-Nov,70
Erie,18-Nov,66
Erie,19-Nov,56
Erie,20-Nov,76
Erie,21-Nov,43
Erie,22-Nov,46
Erie,23-Nov,103
Erie,24-Nov,74
Erie,25-Nov,73
Erie,26-Nov,45
Erie,27-Nov,59
Erie,28-Nov,64
Erie,29-Nov,48
Erie,30-Nov,88
Erie,1-Dec,61
Erie,2-Dec,57
Erie,3-Dec,69
Erie,4-Dec,71
Erie,5-Dec,57
Erie,6-Dec,52
Erie,7-Dec,117
Erie,8-Dec,74
Erie,9-Dec,55
Erie,10-Dec,69
Erie,11-Dec,62
Erie,12-Dec,55
Erie,13-Dec,55
Erie,14-Dec,99
Erie,15-Dec,57
Erie,16-Dec,62
Erie,17-Dec,66
Erie,18-Dec,49
Erie,19-Dec,50
Erie,20-Dec,65
Erie,21-Dec,99
Erie,22-Dec,72
Erie,23-Dec,57
Erie,24-Dec,50
Erie,25-Dec,44
Erie,26-Dec,61
Erie,27-Dec,64
Erie,28-Dec,70
Erie,29-Dec,54
Erie,30-Dec,41
Erie,31-Dec,43
Erie,1-Jan,42
Erie,2-Jan,59
Erie,3-Jan,52
Erie,4-Jan,69
Erie,5-Jan,59
Erie,6-Jan,57
Erie,7-Jan,68
Erie,8-Jan,54
Erie,9-Jan,23
Erie,10-Jan,39
Erie,11-Jan,48
Erie,12-Jan,49
Erie,13-Jan,44
Erie,14-Jan,29
Erie,15-Jan,28
Erie,16-Jan,12
Erie,17-Jan,17
Fairfield,1-Aug,15
Fairfield,2-Aug,19
Fairfield,3-Aug,35
Fairfield,4-Aug,12
Fairfield,5-Aug,17
Fairfield,6-Aug,15
Fairfield,7-Aug,21
Fairfield,8-Aug,21
Fairfield,9-Aug,9
Fairfield,10-Aug,23
Fairfield,11-Aug,17
Fairfield,12-Aug,13
Fairfield,13-Aug,14
Fairfield,14-Aug,12
Fairfield,15-Aug,14
Fairfield,16-Aug,8
Fairfield,17-Aug,15
Fairfield,18-Aug,12
Fairfield,19-Aug,10
Fairfield,20-Aug,12
Fairfield,21-Aug,21
Fairfield,22-Aug,20
Fairfield,23-Aug,18
Fairfield,24-Aug,22
Fairfield,25-Aug,15
Fairfield,26-Aug,22
Fairfield,27-Aug,14
Fairfield,28-Aug,12
Fairfield,29-Aug,11
Fairfield,30-Aug,8
Fairfield,31-Aug,14
Fairfield,1-Sep,16
Fairfield,2-Sep,14
Fairfield,3-Sep,16
Fairfield,4-Sep,20
Fairfield,5-Sep,10
Fairfield,6-Sep,11
Fairfield,7-Sep,17
Fairfield,8-Sep,16
Fairfield,9-Sep,14
Fairfield,10-Sep,15
Fairfield,11-Sep,15
Fairfield,12-Sep,18
Fairfield,13-Sep,5
Fairfield,14-Sep,15
Fairfield,15-Sep,16
Fairfield,16-Sep,12
Fairfield,17-Sep,7
Fairfield,18-Sep,7
Fairfield,19-Sep,6
Fairfield,20-Sep,10
Fairfield,21-Sep,11
Fairfield,22-Sep,20
Fairfield,23-Sep,15
Fairfield,24-Sep,11
Fairfield,25-Sep,24
Fairfield,26-Sep,12
Fairfield,27-Sep,10
Fairfield,28-Sep,16
Fairfield,29-Sep,25
Fairfield,30-Sep,22
Fairfield,1-Oct,22
Fairfield,2-Oct,24
Fairfield,3-Oct,14
Fairfield,4-Oct,14
Fairfield,5-Oct,13
Fairfield,6-Oct,22
Fairfield,7-Oct,28
Fairfield,8-Oct,24
Fairfield,9-Oct,22
Fairfield,10-Oct,21
Fairfield,11-Oct,13
Fairfield,12-Oct,35
Fairfield,13-Oct,26
Fairfield,14-Oct,39
Fairfield,15-Oct,30
Fairfield,16-Oct,21
Fairfield,17-Oct,23
Fairfield,18-Oct,22
Fairfield,19-Oct,37
Fairfield,20-Oct,55
Fairfield,21-Oct,83
Fairfield,22-Oct,40
Fairfield,23-Oct,35
Fairfield,24-Oct,47
Fairfield,25-Oct,29
Fairfield,26-Oct,42
Fairfield,27-Oct,68
Fairfield,28-Oct,70
Fairfield,29-Oct,51
Fairfield,30-Oct,68
Fairfield,31-Oct,52
Fairfield,1-Nov,52
Fairfield,2-Nov,74
Fairfield,3-Nov,96
Fairfield,4-Nov,99
Fairfield,5-Nov,104
Fairfield,6-Nov,122
Fairfield,7-Nov,92
Fairfield,8-Nov,87
Fairfield,9-Nov,147
Fairfield,10-Nov,142
Fairfield,11-Nov,127
Fairfield,12-Nov,116
Fairfield,13-Nov,115
Fairfield,14-Nov,80
Fairfield,15-Nov,66
Fairfield,16-Nov,157
Fairfield,17-Nov,164
Fairfield,18-Nov,172
Fairfield,19-Nov,158
Fairfield,20-Nov,118
Fairfield,21-Nov,78
Fairfield,22-Nov,82
Fairfield,23-Nov,165
Fairfield,24-Nov,117
Fairfield,25-Nov,139
Fairfield,26-Nov,58
Fairfield,27-Nov,123
Fairfield,28-Nov,86
Fairfield,29-Nov,83
Fairfield,30-Nov,181
Fairfield,1-Dec,157
Fairfield,2-Dec,156
Fairfield,3-Dec,122
Fairfield,4-Dec,136
Fairfield,5-Dec,98
Fairfield,6-Dec,99
Fairfield,7-Dec,156
Fairfield,8-Dec,163
Fairfield,9-Dec,157
Fairfield,10-Dec,102
Fairfield,11-Dec,142
Fairfield,12-Dec,90
Fairfield,13-Dec,89
Fairfield,14-Dec,132
Fairfield,15-Dec,147
Fairfield,16-Dec,120
Fairfield,17-Dec,105
Fairfield,18-Dec,138
Fairfield,19-Dec,83
Fairfield,20-Dec,76
Fairfield,21-Dec,113
Fairfield,22-Dec,123
Fairfield,23-Dec,109
Fairfield,24-Dec,89
Fairfield,25-Dec,54
Fairfield,26-Dec,124
Fairfield,27-Dec,101
Fairfield,28-Dec,177
Fairfield,29-Dec,158
Fairfield,30-Dec,137
Fairfield,31-Dec,137
Fairfield,1-Jan,79
Fairfield,2-Jan,94
Fairfield,3-Jan,101
Fairfield,4-Jan,167
Fairfield,5-Jan,144
Fairfield,6-Jan,129
Fairfield,7-Jan,120
Fairfield,8-Jan,118
Fairfield,9-Jan,88
Fairfield,10-Jan,56
Fairfield,11-Jan,131
Fairfield,12-Jan,92
Fairfield,13-Jan,80
Fairfield,14-Jan,71
Fairfield,15-Jan,102
Fairfield,16-Jan,34
Fairfield,17-Jan,29
Fayette,1-Aug,4
Fayette,2-Aug,2
Fayette,3-Aug,0
Fayette,4-Aug,3
Fayette,5-Aug,1
Fayette,6-Aug,2
Fayette,7-Aug,0
Fayette,8-Aug,5
Fayette,9-Aug,1
Fayette,10-Aug,2
Fayette,11-Aug,5
Fayette,12-Aug,4
Fayette,13-Aug,5
Fayette,14-Aug,6
Fayette,15-Aug,4
Fayette,16-Aug,1
Fayette,17-Aug,14
Fayette,18-Aug,4
Fayette,19-Aug,3
Fayette,20-Aug,0
Fayette,21-Aug,2
Fayette,22-Aug,4
Fayette,23-Aug,3
Fayette,24-Aug,3
Fayette,25-Aug,1
Fayette,26-Aug,3
Fayette,27-Aug,2
Fayette,28-Aug,1
Fayette,29-Aug,2
Fayette,30-Aug,4
Fayette,31-Aug,0
Fayette,1-Sep,2
Fayette,2-Sep,3
Fayette,3-Sep,0
Fayette,4-Sep,2
Fayette,5-Sep,1
Fayette,6-Sep,1
Fayette,7-Sep,1
Fayette,8-Sep,4
Fayette,9-Sep,1
Fayette,10-Sep,2
Fayette,11-Sep,2
Fayette,12-Sep,2
Fayette,13-Sep,1
Fayette,14-Sep,3
Fayette,15-Sep,1
Fayette,16-Sep,0
Fayette,17-Sep,0
Fayette,18-Sep,1
Fayette,19-Sep,0
Fayette,20-Sep,3
Fayette,21-Sep,0
Fayette,22-Sep,4
Fayette,23-Sep,2
Fayette,24-Sep,3
Fayette,25-Sep,7
Fayette,26-Sep,4
Fayette,27-Sep,10
Fayette,28-Sep,10
Fayette,29-Sep,13
Fayette,30-Sep,13
Fayette,1-Oct,13
Fayette,2-Oct,2
Fayette,3-Oct,7
Fayette,4-Oct,11
Fayette,5-Oct,13
Fayette,6-Oct,12
Fayette,7-Oct,9
Fayette,8-Oct,12
Fayette,9-Oct,9
Fayette,10-Oct,7
Fayette,11-Oct,6
Fayette,12-Oct,14
Fayette,13-Oct,9
Fayette,14-Oct,11
Fayette,15-Oct,8
Fayette,16-Oct,8
Fayette,17-Oct,5
Fayette,18-Oct,3
Fayette,19-Oct,2
Fayette,20-Oct,9
Fayette,21-Oct,5
Fayette,22-Oct,4
Fayette,23-Oct,8
Fayette,24-Oct,4
Fayette,25-Oct,7
Fayette,26-Oct,7
Fayette,27-Oct,10
Fayette,28-Oct,9
Fayette,29-Oct,9
Fayette,30-Oct,12
Fayette,31-Oct,12
Fayette,1-Nov,9
Fayette,2-Nov,18
Fayette,3-Nov,21
Fayette,4-Nov,13
Fayette,5-Nov,16
Fayette,6-Nov,37
Fayette,7-Nov,14
Fayette,8-Nov,10
Fayette,9-Nov,36
Fayette,10-Nov,44
Fayette,11-Nov,19
Fayette,12-Nov,35
Fayette,13-Nov,22
Fayette,14-Nov,14
Fayette,15-Nov,17
Fayette,16-Nov,24
Fayette,17-Nov,18
Fayette,18-Nov,14
Fayette,19-Nov,17
Fayette,20-Nov,24
Fayette,21-Nov,11
Fayette,22-Nov,16
Fayette,23-Nov,10
Fayette,24-Nov,13
Fayette,25-Nov,17
Fayette,26-Nov,9
Fayette,27-Nov,19
Fayette,28-Nov,12
Fayette,29-Nov,21
Fayette,30-Nov,36
Fayette,1-Dec,33
Fayette,2-Dec,28
Fayette,3-Dec,27
Fayette,4-Dec,35
Fayette,5-Dec,23
Fayette,6-Dec,31
Fayette,7-Dec,30
Fayette,8-Dec,30
Fayette,9-Dec,35
Fayette,10-Dec,37
Fayette,11-Dec,18
Fayette,12-Dec,24
Fayette,13-Dec,15
Fayette,14-Dec,25
Fayette,15-Dec,21
Fayette,16-Dec,13
Fayette,17-Dec,23
Fayette,18-Dec,29
Fayette,19-Dec,16
Fayette,20-Dec,20
Fayette,21-Dec,33
Fayette,22-Dec,18
Fayette,23-Dec,31
Fayette,24-Dec,19
Fayette,25-Dec,14
Fayette,26-Dec,19
Fayette,27-Dec,33
Fayette,28-Dec,20
Fayette,29-Dec,33
Fayette,30-Dec,26
Fayette,31-Dec,30
Fayette,1-Jan,16
Fayette,2-Jan,25
Fayette,3-Jan,20
Fayette,4-Jan,39
Fayette,5-Jan,33
Fayette,6-Jan,17
Fayette,7-Jan,25
Fayette,8-Jan,23
Fayette,9-Jan,11
Fayette,10-Jan,17
Fayette,11-Jan,26
Fayette,12-Jan,27
Fayette,13-Jan,11
Fayette,14-Jan,24
Fayette,15-Jan,22
Fayette,16-Jan,8
Fayette,17-Jan,4
Franklin,1-Aug,165
Franklin,2-Aug,119
Franklin,3-Aug,194
Franklin,4-Aug,150
Franklin,5-Aug,173
Franklin,6-Aug,159
Franklin,7-Aug,158
Franklin,8-Aug,105
Franklin,9-Aug,125
Franklin,10-Aug,220
Franklin,11-Aug,162
Franklin,12-Aug,165
Franklin,13-Aug,117
Franklin,14-Aug,141
Franklin,15-Aug,115
Franklin,16-Aug,117
Franklin,17-Aug,149
Franklin,18-Aug,156
Franklin,19-Aug,160
Franklin,20-Aug,133
Franklin,21-Aug,129
Franklin,22-Aug,116
Franklin,23-Aug,109
Franklin,24-Aug,234
Franklin,25-Aug,206
Franklin,26-Aug,211
Franklin,27-Aug,206
Franklin,28-Aug,174
Franklin,29-Aug,148
Franklin,30-Aug,184
Franklin,31-Aug,347
Franklin,1-Sep,359
Franklin,2-Sep,281
Franklin,3-Sep,225
Franklin,4-Sep,228
Franklin,5-Sep,139
Franklin,6-Sep,126
Franklin,7-Sep,178
Franklin,8-Sep,273
Franklin,9-Sep,251
Franklin,10-Sep,196
Franklin,11-Sep,167
Franklin,12-Sep,139
Franklin,13-Sep,92
Franklin,14-Sep,238
Franklin,15-Sep,170
Franklin,16-Sep,154
Franklin,17-Sep,116
Franklin,18-Sep,127
Franklin,19-Sep,88
Franklin,20-Sep,133
Franklin,21-Sep,165
Franklin,22-Sep,162
Franklin,23-Sep,153
Franklin,24-Sep,122
Franklin,25-Sep,137
Franklin,26-Sep,114
Franklin,27-Sep,111
Franklin,28-Sep,160
Franklin,29-Sep,168
Franklin,30-Sep,176
Franklin,1-Oct,143
Franklin,2-Oct,134
Franklin,3-Oct,152
Franklin,4-Oct,142
Franklin,5-Oct,212
Franklin,6-Oct,217
Franklin,7-Oct,207
Franklin,8-Oct,184
Franklin,9-Oct,172
Franklin,10-Oct,166
Franklin,11-Oct,167
Franklin,12-Oct,244
Franklin,13-Oct,267
Franklin,14-Oct,239
Franklin,15-Oct,197
Franklin,16-Oct,226
Franklin,17-Oct,217
Franklin,18-Oct,187
Franklin,19-Oct,323
Franklin,20-Oct,306
Franklin,21-Oct,269
Franklin,22-Oct,272
Franklin,23-Oct,320
Franklin,24-Oct,263
Franklin,25-Oct,280
Franklin,26-Oct,461
Franklin,27-Oct,397
Franklin,28-Oct,438
Franklin,29-Oct,468
Franklin,30-Oct,446
Franklin,31-Oct,380
Franklin,1-Nov,413
Franklin,2-Nov,693
Franklin,3-Nov,668
Franklin,4-Nov,754
Franklin,5-Nov,735
Franklin,6-Nov,686
Franklin,7-Nov,515
Franklin,8-Nov,546
Franklin,9-Nov,"1,013"
Franklin,10-Nov,926
Franklin,11-Nov,900
Franklin,12-Nov,955
Franklin,13-Nov,943
Franklin,14-Nov,667
Franklin,15-Nov,516
Franklin,16-Nov,"1,044"
Franklin,17-Nov,986
Franklin,18-Nov,"1,057"
Franklin,19-Nov,987
Franklin,20-Nov,992
Franklin,21-Nov,686
Franklin,22-Nov,609
Franklin,23-Nov,"1,212"
Franklin,24-Nov,"1,080"
Franklin,25-Nov,"1,070"
Franklin,26-Nov,371
Franklin,27-Nov,988
Franklin,28-Nov,756
Franklin,29-Nov,727
Franklin,30-Nov,"1,180"
Franklin,1-Dec,"1,208"
Franklin,2-Dec,"1,060"
Franklin,3-Dec,"1,024"
Franklin,4-Dec,"1,020"
Franklin,5-Dec,687
Franklin,6-Dec,589
Franklin,7-Dec,"1,076"
Franklin,8-Dec,"1,030"
Franklin,9-Dec,947
Franklin,10-Dec,879
Franklin,11-Dec,845
Franklin,12-Dec,653
Franklin,13-Dec,581
Franklin,14-Dec,"1,083"
Franklin,15-Dec,852
Franklin,16-Dec,833
Franklin,17-Dec,809
Franklin,18-Dec,807
Franklin,19-Dec,578
Franklin,20-Dec,559
Franklin,21-Dec,935
Franklin,22-Dec,892
Franklin,23-Dec,818
Franklin,24-Dec,681
Franklin,25-Dec,278
Franklin,26-Dec,694
Franklin,27-Dec,633
Franklin,28-Dec,"1,153"
Franklin,29-Dec,948
Franklin,30-Dec,977
Franklin,31-Dec,751
Franklin,1-Jan,396
Franklin,2-Jan,743
Franklin,3-Jan,626
Franklin,4-Jan,"1,189"
Franklin,5-Jan,924
Franklin,6-Jan,920
Franklin,7-Jan,683
Franklin,8-Jan,762
Franklin,9-Jan,492
Franklin,10-Jan,425
Franklin,11-Jan,789
Franklin,12-Jan,648
Franklin,13-Jan,577
Franklin,14-Jan,593
Franklin,15-Jan,482
Franklin,16-Jan,252
Franklin,17-Jan,205
Fulton,1-Aug,1
Fulton,2-Aug,2
Fulton,3-Aug,2
Fulton,4-Aug,3
Fulton,5-Aug,4
Fulton,6-Aug,2
Fulton,7-Aug,1
Fulton,8-Aug,1
Fulton,9-Aug,3
Fulton,10-Aug,2
Fulton,11-Aug,3
Fulton,12-Aug,0
Fulton,13-Aug,0
Fulton,14-Aug,2
Fulton,15-Aug,1
Fulton,16-Aug,2
Fulton,17-Aug,1
Fulton,18-Aug,2
Fulton,19-Aug,3
Fulton,20-Aug,0
Fulton,21-Aug,1
Fulton,22-Aug,2
Fulton,23-Aug,3
Fulton,24-Aug,1
Fulton,25-Aug,2
Fulton,26-Aug,1
Fulton,27-Aug,1
Fulton,28-Aug,0
Fulton,29-Aug,1
Fulton,30-Aug,8
Fulton,31-Aug,3
Fulton,1-Sep,1
Fulton,2-Sep,2
Fulton,3-Sep,3
Fulton,4-Sep,4
Fulton,5-Sep,0
Fulton,6-Sep,1
Fulton,7-Sep,3
Fulton,8-Sep,5
Fulton,9-Sep,1
Fulton,10-Sep,3
Fulton,11-Sep,2
Fulton,12-Sep,3
Fulton,13-Sep,0
Fulton,14-Sep,4
Fulton,15-Sep,1
Fulton,16-Sep,3
Fulton,17-Sep,2
Fulton,18-Sep,4
Fulton,19-Sep,0
Fulton,20-Sep,2
Fulton,21-Sep,1
Fulton,22-Sep,4
Fulton,23-Sep,8
Fulton,24-Sep,47
Fulton,25-Sep,3
Fulton,26-Sep,6
Fulton,27-Sep,5
Fulton,28-Sep,10
Fulton,29-Sep,24
Fulton,30-Sep,13
Fulton,1-Oct,5
Fulton,2-Oct,3
Fulton,3-Oct,4
Fulton,4-Oct,9
Fulton,5-Oct,7
Fulton,6-Oct,18
Fulton,7-Oct,7
Fulton,8-Oct,9
Fulton,9-Oct,13
Fulton,10-Oct,8
Fulton,11-Oct,4
Fulton,12-Oct,23
Fulton,13-Oct,14
Fulton,14-Oct,9
Fulton,15-Oct,18
Fulton,16-Oct,1
Fulton,17-Oct,10
Fulton,18-Oct,14
Fulton,19-Oct,10
Fulton,20-Oct,14
Fulton,21-Oct,5
Fulton,22-Oct,14
Fulton,23-Oct,21
Fulton,24-Oct,8
Fulton,25-Oct,10
Fulton,26-Oct,23
Fulton,27-Oct,15
Fulton,28-Oct,19
Fulton,29-Oct,14
Fulton,30-Oct,20
Fulton,31-Oct,23
Fulton,1-Nov,12
Fulton,2-Nov,34
Fulton,3-Nov,22
Fulton,4-Nov,29
